,CensusTract,CENTROID_X,CENTROID_Y,Total_Population
359,5605.0,1403945.955,409528.7885,2447
360,5606.0,1406045.285,410432.8153,939
361,5610.0,1408275.395,408961.279,1431
362,5611.0,1408316.602,412652.7057,898
363,5612.0,1406483.773,412529.1184,1302
364,5614.0,1412198.05,414018.9742,4073
365,5615.0,1410331.302,410301.381,3124
366,5616.0,1382843.196,401696.5925,2124
367,5617.0,1380669.8469999998,399735.2689,868
368,5619.0,1403576.27,421460.9238,2639
369,5620.0,1386646.784,415079.3923,2988
370,5623.0,1392146.415,399205.5652,3680
371,5624.0,1372785.505,401169.37299999996,2622
372,5625.0,1359295.791,417983.4219,3083
373,5626.0,1363483.186,412510.3208,2726
374,5627.0,1371076.615,415510.76,1754
375,5628.0,1353693.615,405301.8554,1668
376,5629.0,1388060.9740000002,396186.3182,1698
377,5630.0,1351318.4230000002,416366.5982,3275
378,5631.0,1361462.8909999998,408099.3994,3851
379,5632.0,1374406.971,415785.5464,2300
380,5633.0,1334199.229,456455.8755,1329
381,5638.0,1340012.772,442908.9136,3621
382,5639.0,1416769.8280000002,401898.1409,3909
383,5640.0,1306586.878,403015.7831,5902
384,5641.0,1349482.175,407239.9479,945
385,5642.0,1430065.0269999998,370565.0696,2311
386,5644.0,1431238.937,386539.3234,5459
387,5645.0,1393805.689,349815.4494,3026
388,9800.0,1404076.9440000001,427920.7545,220
389,9801.0,1397892.721,425465.5817,27
390,9803.0,1399878.2519999999,407724.2493,0
391,9804.0,1368533.28,426507.4662,0
392,9805.0,1389745.355,408638.5509,4
393,9806.0,1366029.4640000002,415656.9759,3
394,9807.0,1370406.254,410353.5353,12
395,9808.0,1383618.6069999998,407915.4353,0
396,9809.0,1362290.237,421057.6326,2135
397,9810.0,1388236.948,422781.3252,0
398,9811.0,1399793.5159999998,411185.2339,5
399,9812.0,1370765.86,413520.167,0
400,9818.0,1402668.2580000001,425086.5849,311
401,9822.0,1386338.868,412408.6769,4516
